Sample Name,COSMIC identifier,MSI
A253,906794,MSS/MSI-L
BB30-HNC,753531,MSS/MSI-L
BB49-HNC,753532,MSS/MSI-L
BHY,753535,MSS/MSI-L
BICR10,1290724,MSS/MSI-L
BICR22,1240121,MSS/MSI-L
BICR31,1290725,MSS/MSI-L
BICR78,1240122,MSS/MSI-L
Ca9-22,753538,MSS/MSI-L
CAL-27,910916,MSS/MSI-L
CAL-33,753541,MSS/MSI-L
Detroit562,906837,MSS/MSI-L
DOK,910936,MSS/MSI-L
FADU,906863,MSS/MSI-L
H3118,1240140,MSS/MSI-L
HN,907059,MSS/MSI-L
HO-1-N-1,924111,MSS/MSI-L
HO-1-u-1,753561,MSS/MSI-L
HSC-2,753562,MSS/MSI-L
HSC-3,907061,MSS/MSI-L
HSC-4,907062,MSS/MSI-L
JHU-011,1240161,MSS/MSI-L
JHU-022,1240162,MSS/MSI-L
KON,1298215,MSS/MSI-L
KOSC-2,753570,MSS/MSI-L
LB771-HNC,753583,MSS/MSI-L
OSC-19,1298362,MSS/MSI-L
OSC-20,1240196,MSS/MSI-L
PCI-15A,1240204,MSS/MSI-L
PCI-30,1298529,MSS/MSI-L
PCI-38,1240205,MSS/MSI-L
PCI-4B,1298531,MSS/MSI-L
PCI-6A,1240206,MSS/MSI-L
PE/CA-PJ15,1240207,MSS/MSI-L
RPMI-2650,909700,MSS/MSI-L
SAS,909708,MSS/MSI-L
SAT,1299050,MSS/MSI-L
SCC-15,910911,MSS/MSI-L
SCC-25,910701,MSS/MSI-L
SCC-4,910904,MSS/MSI-L
SCC-9,909709,MSS/MSI-L
SKN-3,1299059,MSS/MSI-L
COLO-680N,906817,MSS/MSI-L
EC-GI-10,753555,MSS/MSI-L
ESO26,1503366,MSS/MSI-L
ESO51,1503367,MSS/MSI-L
FLO-1,1503361,MSS/MSI-L
HCE-4,753559,MSS/MSI-L
KYAE-1,1503368,MSS/MSI-L
KYSE-140,753573,MSS/MSI-L
KYSE-150,907317,MSS/MSI-L
KYSE-180,907318,MSS/MSI-L
KYSE-220,1240167,MSS/MSI-L
KYSE-270,907319,MSS/MSI-L
KYSE-410,753574,MSS/MSI-L
KYSE-450,907320,MSS/MSI-L
KYSE-50,1298222,MSS/MSI-L
KYSE-510,907321,MSS/MSI-L
KYSE-520,753575,MSS/MSI-L
KYSE-70,753576,MSS/MSI-L
OACM5-1,1503363,MSS/MSI-L
OACp4C,1503362,MSS/MSI-L
OE19,910079,MSS/MSI-L
OE21,1298359,MSS/MSI-L
OE33,910549,MSS/MSI-L
SK-GT-4,1503365,MSS/MSI-L
TE-1,753621,MSS/MSI-L
TE-10,753622,MSS/MSI-L
TE-11,946354,MSS/MSI-L
TE-12,946356,MSS/MSI-L
TE-15,753614,MSS/MSI-L
TE-4,1503371,MSS/MSI-L
TE-5,735784,MSS/MSI-L
TE-6,946355,MSS/MSI-L
TE-8,753623,MSS/MSI-L
TE-9,946353,MSS/MSI-L
T-T,1299064,MSS/MSI-L
CESS,910688,MSS/MSI-L
CTV-1,753548,MSI-H
GDM-1,906870,MSS/MSI-L
HEL,907053,MSS/MSI-L
HL-60,905938,MSS/MSI-L
KASUMI-1,907275,MSS/MSI-L
KG-1,907278,MSS/MSI-L
KMOE-2,907280,MSS/MSI-L
ME-1,1330942,MSS/MSI-L
ML-2,908141,MSS/MSI-L
MOLM-13,1330947,MSS/MSI-L
MONO-MAC-6,908148,MSS/MSI-L
NKM-1,908448,MSS/MSI-L
NOMO-1,908451,MSS/MSI-L
OCI-AML2,910947,MSS/MSI-L
OCI-AML3,1290455,MSS/MSI-L
OCI-AML5,1330983,MSS/MSI-L
OCI-M1,1330985,MSS/MSI-L
P31-FUJ,909253,MSI-H
PL-21,1330991,MSS/MSI-L
QIMR-WIL,910545,MSS/MSI-L
SIG-M5,909715,MSS/MSI-L
THP-1,909771,MSS/MSI-L
KARPAS-299,907273,MSS/MSI-L
SU-DHL-1,909742,MSS/MSI-L
SUP-M2,1331040,MSS/MSI-L
BALL-1,910705,MSS/MSI-L
KARPAS-231,1327774,MSS/MSI-L
KOPN-8,1330933,MSS/MSI-L
MHH-CALL-2,908132,MSS/MSI-L
MHH-PREB-1,908136,MSI-H
MN-60,908143,MSI-H
NALM-6,908158,MSI-H
RCH-ACV,1330994,MSS/MSI-L
REH,909696,MSI-H
ROS-50,1331025,MSS/MSI-L
SUP-B8,910209,MSS/MSI-L
U-698-M,909777,MSS/MSI-L
A3-KAW,910935,MSS/MSI-L
A4-Fuk,910934,MSS/MSI-L
BC-1,910919,MSS/MSI-L
CRO-AP2,906807,MSS/MSI-L
CTB-1,949088,MSS/MSI-L
DB,906832,MSS/MSI-L
DOHH-2,906842,MSS/MSI-L
Farage,1297449,MSS/MSI-L
GRANTA-519,1303897,MSS/MSI-L
JEKO-1,1327765,MSS/MSI-L
JSC-1,1327769,MSS/MSI-L
KARPAS-1106P,1327773,MSS/MSI-L
KARPAS-422,907274,MSS/MSI-L
MC116,907799,MSS/MSI-L
NU-DUL-1,1330982,MSS/MSI-L
OCI-LY-19,1330984,MSS/MSI-L
RC-K8,1330995,MSS/MSI-L
RL,910861,MSS/MSI-L
SCC-3,910930,MSS/MSI-L
SLVL,1331032,MSS/MSI-L
SU-DHL-10,1331033,MSS/MSI-L
SU-DHL-16,1331034,MSS/MSI-L
SU-DHL-4,1331035,MSS/MSI-L
SU-DHL-5,1331036,MSS/MSI-L
SU-DHL-6,1331037,MSS/MSI-L
SU-DHL-8,1331038,MSS/MSI-L
TK,1331045,MSS/MSI-L
TUR,909773,MSI-H
VAL,1331048,MSS/MSI-L
WSU-DLCL2,1331050,MSS/MSI-L
BL-41,910706,MSS/MSI-L
CA46,910703,MSS/MSI-L
Daudi,906831,MSS/MSI-L
DG-75,906838,MSI-H
EB2,906846,MSS/MSI-L
EB-3,906847,MSS/MSI-L
GA-10,1303896,MSS/MSI-L
JiyoyeP-2003,907268,MSS/MSI-L
NAMALWA,908159,MSS/MSI-L
P32-ISH,1330987,MSS/MSI-L
Raji,909262,MSS/MSI-L
Ramos-2G6-4C10,910401,MSS/MSI-L
ST486,910906,MSS/MSI-L
BV-173,910710,MSS/MSI-L
CML-T1,910951,MSS/MSI-L
EM-2,906855,MSS/MSI-L
JURL-MK1,1327771,MSS/MSI-L
K-562,905940,MSS/MSI-L
KCL-22,1330931,MSI-H
KU812,907311,MSS/MSI-L
LAMA-84,907783,MSS/MSI-L
MEG-01,908126,MSS/MSI-L
RPMI-8866,910544,MSS/MSI-L
AMO-1,1295741,MSS/MSI-L
EoL-1-cell,906856,MSS/MSI-L
JJN-3,1327766,MSS/MSI-L
KARPAS-620,1327775,MSS/MSI-L
MC-CAR,683665,MSS/MSI-L
SKM-1,909722,MSS/MSI-L
HC-1,907044,MSS/MSI-L
MLMA,908142,MSS/MSI-L
Mo-T,908149,MSS/MSI-L
HDLM-2,924110,MSS/MSI-L
HD-MY-Z,907050,MSS/MSI-L
Hs-445,1322218,MSS/MSI-L
KM-H2,909976,MSS/MSI-L
L-1236,1330935,MSS/MSI-L
L-428,907322,MSS/MSI-L
L-540,907323,MSS/MSI-L
RPMI-6666,909701,MSS/MSI-L
SUP-HD1,1331039,MSS/MSI-L
KY821,907300,MSS/MSI-L
MV-4-11,908156,MSS/MSI-L
RS4-11,909703,MSI-H
697,906800,MSS/MSI-L
ALL-PO,910944,MSS/MSI-L
BE-13,906763,MSS/MSI-L
CCRF-CEM,905952,MSS/MSI-L
GR-ST,906877,MSI-H
HAL-01,949153,MSS/MSI-L
KARPAS-45,907272,MSS/MSI-L
KE-37,907277,MSS/MSI-L
LC4-1,907787,MSS/MSI-L
MOLT-4,905958,MSI-H
P30-OHK,909252,MSI-H
SUP-B15,1247871,MSS/MSI-L
ATN-1,910687,MSS/MSI-L
LOUCY,907789,MSS/MSI-L
MOLT-13,908146,MSI-H
MOLT-16,908147,MSS/MSI-L
P12-ICHIKAWA,909251,MSS/MSI-L
PF-382,909260,MSS/MSI-L
RPMI-8402,909702,MSS/MSI-L
SUP-T1,909743,MSS/MSI-L
DEL,906836,MSS/MSI-L
EHEB,906854,MSS/MSI-L
EJM,1297447,MSS/MSI-L
H9,907043,MSS/MSI-L
JVM-2,907269,MSS/MSI-L
JVM-3,907270,MSS/MSI-L
SR,905965,MSS/MSI-L
WIL2-NS,1331049,MSS/MSI-L
WSU-NHL,909785,MSI-H
YT,946358,MSS/MSI-L
ARH-77,906765,MSS/MSI-L
IM-9,753563,MSS/MSI-L
KMS-12-BM,907281,MSS/MSI-L
L-363,924239,MSS/MSI-L
LP-1,907791,MSS/MSI-L
MM1S,1659818,MSS/MSI-L
MOLP-8,1330950,MSS/MSI-L
NCI-H929,724825,MSS/MSI-L
OPM-2,909249,MSS/MSI-L
RPMI-8226,905964,MSS/MSI-L
SK-MM-2,753612,MSS/MSI-L
U-266,753615,MSS/MSI-L
ALL-SIL,1295740,MSS/MSI-L
DND-41,1297446,MSI-H
HH,907056,MSS/MSI-L
Jurkat,998184,MSI-H
CS1,1290795,MSS/MSI-L
SJSA-1,909717,MSS/MSI-L
CAL-78,1290765,MSS/MSI-L
CHSA8926,1303912,MSS/MSI-L
H-EMC-SS,907290,MSS/MSI-L
CADO-ES1,753539,MSS/MSI-L
ES1,949158,MSS/MSI-L
ES3,684055,MSS/MSI-L
ES4,949156,MSS/MSI-L
ES5,684057,MSS/MSI-L
ES7,684059,MSS/MSI-L
ES8,949155,MSS/MSI-L
EW-1,949163,MSS/MSI-L
EW-11,684062,MSS/MSI-L
EW-12,949162,MSS/MSI-L
EW-13,949166,MSS/MSI-L
EW-16,949165,MSS/MSI-L
EW-18,949164,MSS/MSI-L
EW-22,949167,MSS/MSI-L
EW-24,949168,MSS/MSI-L
EW-3,949161,MSS/MSI-L
EW-7,949160,MSS/MSI-L
SK-ES-1,684072,MSS/MSI-L
SK-PN-DW,909731,MSS/MSI-L
TC-71,1240221,MSS/MSI-L
CAL-72,906827,MSS/MSI-L
G-292 Clone A141B1,1290807,MSS/MSI-L
HOS,907060,MSS/MSI-L
HuO-3N1,909977,MSS/MSI-L
HuO9,907072,MSS/MSI-L
MG-63,908131,MSS/MSI-L
NOS-1,925345,MSS/MSI-L
NY,910849,MSS/MSI-L
Saos-2,909707,MSS/MSI-L
U-2-OS,909776,MSS/MSI-L
AU565,910704,MSS/MSI-L
BT-20,906801,MSS/MSI-L
BT-474,946359,MSS/MSI-L
BT-483,949093,MSS/MSI-L
BT-549,905951,MSS/MSI-L
CAL-120,906826,MSS/MSI-L
CAL-148,924106,MSS/MSI-L
CAL-51,910927,MSS/MSI-L
CAL-85-1,910852,MSS/MSI-L
CAMA-1,946382,MSS/MSI-L
COLO-824,906812,MSS/MSI-L
DU-4475,906844,MSS/MSI-L
EFM-19,906851,MSS/MSI-L
EFM-192A,1290798,MSS/MSI-L
EVSA-T,906862,MSS/MSI-L
HCC1143,749710,MSS/MSI-L
HCC1187,749711,MSS/MSI-L
HCC1395,749712,MSS/MSI-L
HCC1419,907045,MSS/MSI-L
HCC1428,1290905,MSS/MSI-L
HCC1500,1303900,MSS/MSI-L
HCC1569,907046,MSI-H
HCC1599,749713,MSS/MSI-L
HCC1806,907047,MSS/MSI-L
HCC1937,749714,MSS/MSI-L
HCC1954,749709,MSS/MSI-L
HCC202,1290906,MSS/MSI-L
HCC2157,749715,MSS/MSI-L
HCC2218,749716,MSS/MSI-L
HCC38,749717,MSS/MSI-L
HCC70,907048,MSS/MSI-L
HDQ-P1,1290922,MSS/MSI-L
Hs-578-T,905957,MSS/MSI-L
MCF7,905946,MSS/MSI-L
MDA-MB-157,925338,MSS/MSI-L
MDA-MB-231,905960,MSS/MSI-L
MDA-MB-330,1330941,MSS/MSI-L
MDA-MB-361,908121,MSS/MSI-L
MDA-MB-415,924240,MSS/MSI-L
MDA-MB-436,1240172,MSS/MSI-L
MDA-MB-453,908122,MSS/MSI-L
MDA-MB-468,908123,MSS/MSI-L
MFM-223,910948,MSS/MSI-L
MRK-nu-1,908151,MSS/MSI-L
OCUB-M,909256,MSS/MSI-L
T47D,905945,MSS/MSI-L
UACC-812,910910,MSS/MSI-L
UACC-893,909778,MSS/MSI-L
ZR-75-30,909907,MSS/MSI-L
EGI-1,906853,MSS/MSI-L
ETK-1,906861,MSS/MSI-L
HuCCT1,907069,MSS/MSI-L
TGBC1TKB,909769,MSS/MSI-L
TGBC24TKB,910695,MSS/MSI-L
HUTU-80,907073,MSS/MSI-L
C2BBe1,910700,MSS/MSI-L
CaR-1,924108,MSS/MSI-L
CCK-81,1240123,MSI-H
CL-11,1290769,MSS/MSI-L
CL-40,1240124,MSS/MSI-L
COLO-205,905961,MSS/MSI-L
COLO-320-HSR,910569,MSS/MSI-L
COLO-678,910689,MSS/MSI-L
CW-2,910554,MSI-H
GP5d,907291,MSI-H
HCC2998,905971,MSS/MSI-L
HCC-56,1290907,MSS/MSI-L
HCT-116,905936,MSI-H
HCT-15,905937,MSI-H
HT-115,907289,MSS/MSI-L
HT-29,905939,MSS/MSI-L
HT55,907287,MSS/MSI-L
KM12,905989,MSI-H
LoVo,907790,MSI-H
LS-1034,917486,MSS/MSI-L
LS-123,907792,MSS/MSI-L
LS-180,998189,MSI-H
LS-411N,907794,MSI-H
LS-513,907795,MSS/MSI-L
MDST8,1240173,MSS/MSI-L
NCI-H630,908482,MSI-H
NCI-H716,908458,MSS/MSI-L
NCI-H747,908457,MSS/MSI-L
RCM-1,909263,MSS/MSI-L
RKO,909698,MSI-H
SK-CO-1,909718,MSS/MSI-L
SNU-1040,1659823,MSS/MSI-L
SNU-175,1659928,MSI-H
SNU-407,1660034,MSI-H
SNU-61,1660035,MSS/MSI-L
SNU-81,1660036,MSS/MSI-L
SNU-C1,910905,MSS/MSI-L
SNU-C2B,909740,MSI-H
SNU-C5,1674021,MSI-H
SW1116,909746,MSS/MSI-L
SW1417,909747,MSS/MSI-L
SW1463,909748,MSS/MSI-L
SW48,909751,MSI-H
SW837,909755,MSS/MSI-L
SW948,909757,MSS/MSI-L
T84,909761,MSS/MSI-L
C3A,910850,MSS/MSI-L
Hep 3B2_1-7,1240147,MSS/MSI-L
HLE,907057,MSS/MSI-L
huH-1,1298146,MSS/MSI-L
HuH-7,907071,MSS/MSI-L
JHH-1,1298151,MSS/MSI-L
JHH-6,1240159,MSS/MSI-L
JHH-7,1240160,MSS/MSI-L
SK-HEP-1,909719,MSS/MSI-L
SNU-182,1240216,MSS/MSI-L
SNU-387,909736,MSS/MSI-L
SNU-398,1240217,MSS/MSI-L
SNU-423,909737,MSS/MSI-L
SNU-449,909738,MSS/MSI-L
SNU-475,909739,MSS/MSI-L
23132-87,910924,MSI-H
AGS,906790,MSS/MSI-L
ECC10,906848,MSS/MSI-L
ECC12,906849,MSS/MSI-L
FU97,1290806,MSS/MSI-L
GCIY,906869,MSS/MSI-L
GT3TKB,907041,MSS/MSI-L
HGC-27,907055,MSS/MSI-L
Hs746T,1240151,MSS/MSI-L
HSC-39,1322224,MSS/MSI-L
IM-95,1240155,MSS/MSI-L
KATOIII,907276,MSS/MSI-L
MKN1,908138,MSS/MSI-L
MKN28,908139,MSS/MSI-L
MKN45,925340,MSS/MSI-L
MKN7,924250,MSS/MSI-L
NCI-N87,908461,MSS/MSI-L
NCI-SNU-1,908444,MSI-H
NCI-SNU-16,908446,MSS/MSI-L
NCI-SNU-5,908445,MSS/MSI-L
NUGC-3,908455,MSI-H
NUGC-4,1298357,MSS/MSI-L
OCUM-1,1298358,MSS/MSI-L
RERF-GC-1B,1240209,MSS/MSI-L
RF-48,909697,MSS/MSI-L
SCH,909711,MSS/MSI-L
SK-GT-2,1503364,MSS/MSI-L
TGBC11TKB,909770,MSI-H
SW13,909744,MSS/MSI-L
769-P,910922,MSS/MSI-L
786-0,905947,MSS/MSI-L
A498,905948,MSS/MSI-L
A704,910920,MSS/MSI-L
ACHN,905950,MSS/MSI-L
BB65-RCC,753533,MSS/MSI-L
BFTC-909,910698,MSS/MSI-L
CAKI-1,905963,MSS/MSI-L
CAL-54,910952,MSS/MSI-L
G-401,907299,MSS/MSI-L
HA7-RCC,753558,MSS/MSI-L
KMRC-1,1298168,MSS/MSI-L
KMRC-20,1298169,MSS/MSI-L
LB1047-RCC,753577,MSI-H
LB2241-RCC,753578,MSS/MSI-L
LB996-RCC,753585,MSS/MSI-L
NCC010,1509073,MSS/MSI-L
NCC021,1509074,MSS/MSI-L
OS-RC-2,909250,MSS/MSI-L
RCC10RGB,909974,MSS/MSI-L
RCC-AB,1524418,MSS/MSI-L
RCC-ER,1524417,MSS/MSI-L
RCC-FG2,1524414,MSS/MSI-L
RCC-JW,1524416,MSS/MSI-L
RCC-MF,1524419,MSS/MSI-L
RXF393,905978,MSS/MSI-L
SN12C,905979,MSS/MSI-L
TK10,905980,MSS/MSI-L
U031,905981,MSS/MSI-L
VMRC-RCZ,909781,MSS/MSI-L
201T,1287381,MSS/MSI-L
A549,905949,MSS/MSI-L
ABC-1,906791,MSS/MSI-L
Calu-3,687777,MSS/MSI-L
Calu-6,724859,MSS/MSI-L
COR-L105,906805,MSS/MSI-L
EKVX,905970,MSS/MSI-L
EMC-BAC-1,1503369,MSS/MSI-L
EMC-BAC-2,1503370,MSS/MSI-L
H3255,1247873,MSS/MSI-L
HCC-44,1240145,MSS/MSI-L
HCC-78,1290908,MSS/MSI-L
HCC-827,1240146,MSS/MSI-L
LC-2-ad,907786,MSS/MSI-L
LXF-289,753592,MSS/MSI-L
NCI-H1355,724866,MSS/MSI-L
NCI-H1395,684681,MSS/MSI-L
NCI-H1435,1298347,MSS/MSI-L
NCI-H1563,753600,MSS/MSI-L
NCI-H1568,1298348,MSS/MSI-L
NCI-H1573,908472,MSS/MSI-L
NCI-H1623,687798,MSS/MSI-L
NCI-H1648,687799,MSS/MSI-L
NCI-H1650,687800,MSS/MSI-L
NCI-H1651,910900,MSS/MSI-L
NCI-H1666,908473,MSS/MSI-L
NCI-H1693,687802,MSS/MSI-L
NCI-H1703,908474,MSS/MSI-L
NCI-H1734,722058,MSS/MSI-L
NCI-H1755,908475,MSS/MSI-L
NCI-H1781,1298350,MSS/MSI-L
NCI-H1792,724868,MSS/MSI-L
NCI-H1793,908463,MSS/MSI-L
NCI-H1838,687807,MSS/MSI-L
NCI-H1944,1240185,MSS/MSI-L
NCI-H1975,924244,MSS/MSI-L
NCI-H1993,908476,MSS/MSI-L
NCI-H2009,724873,MSS/MSI-L
NCI-H2023,1240187,MSS/MSI-L
NCI-H2030,722045,MSS/MSI-L
NCI-H2085,687812,MSS/MSI-L
NCI-H2087,724834,MSS/MSI-L
NCI-H2122,722046,MSS/MSI-L
NCI-H2228,687816,MSS/MSI-L
NCI-H2291,724874,MSS/MSI-L
NCI-H23,905942,MSS/MSI-L
NCI-H2342,687819,MSS/MSI-L
NCI-H2347,687820,MSS/MSI-L
NCI-H2405,687821,MSS/MSI-L
NCI-H292,753604,MSS/MSI-L
NCI-H3122,1240190,MSS/MSI-L
NCI-H322M,905967,MSS/MSI-L
NCI-H358,908465,MSS/MSI-L
NCI-H441,908460,MSS/MSI-L
